,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一.基础价格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
层数,工程费,0.2㎡以下样品打包价,单  价 （0.5平米以下样品包5W点飞针测试）,,,,,,,交  期(工作日),,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.21-0.5m2,0.5-1m2,1-3m2,3-5m2,5.01-10m2,10-30m2,30.01m2以上,0-0.5m2,0.5-1m2,1-3m2,3-5m2,5-10m2,10-20m2,≥30m2,,,,,,,,,,,,,,,,,,,
1层,180,300,510,450,400,340,280,290,280,5,6,7,8,10,12,≥15,,,,,,,,,,,,,,,,,,,
2层,210,330,560,510,470,440,400,370,320,5,6,7,9,11,13,≥15,,,,,,,,,,,,,,,,,,,
4层,500,610,850,810,770,730,630,560,540,7,8,9,11,13,15,≥17,,,,,,,,,,,,,,,,,,,
6层,1100,1300,1300,1200,1150,1100,1000,950,930,9,10,11,13,15,17,≥19,,,,,,,,,,,,,,,,,,,
8层,1350,最少起订量5片,2000,1900,1900,1700,1700,1700,1600,10,11,12,14,16,18,≥20,,,,,,,,,,,,,,,,,,,
10层,1000,最少起订量5片,2500,2500,2400,2400,2300,2000,1850,11,11,13,15,17,18,≥20天,,,,,,,,,,,,,,,,,,,
12层,1600,最少起订量5片,2600,2600,2500,2500,2400,2200,2100,12,12,14,16,18,19,评估,,,,,,,,,,,,,,,,,,,
14层,2000,最少起订量5片,4000,4000,3800,3600,3600,3400,3400,13,13,15,17,19,20,评估,,,,,,,,,,,,,,,,,,,
16层,2500,最少起订量5片,4500,4500,4300,4300,4300,4200,4100,15,15,17,19,21,22,评估,,,,,,,,,,,,,,,,,,,
18层,3000,最少起订量5片,5500,5500,5300,5000,5000,4800,4600,17,17,19,21,23,24,评估,,,,,,,,,,,,,,,,,,,
20层,3500,最少起订量5片,6500,6500,6200,6000,6000,5800,5700,18,18,20,22,24,25,评估,,,,,,,,,,,,,,,,,,,
1）标准工艺价格：普通FR-4（TG135），板厚 1.6MM ，铜厚1oz，最小钻孔孔径0.25mm，线宽线距≥5/5mil(四层及以上4/4mil)，孔密度小于5万/款，喷锡或者OSP工艺，IPC二级标准。（BGA小于0.25MM，板厚小于0.5MM，不做喷锡工艺）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2）单双面板4/4MIL线路+50元 (小于4/4MIL不做)；四层板3.5/3.5MIL加50元（小于3.5/3.5MIL评估）；六层及以上 ≥3.5/3.5MIL不加收费用 （小于3.5/3.5MIL评估）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3）新单大于5平米无工程费；返单大于3平米不收工程费；,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5）出货报告收费20元/款；切片报告收费20元（只要切片免费）；阻抗报告收费20元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二.相关说明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.测试费：0.5㎡以下免费飞针（包5万测试点），超过5万测试点则收取超出点数的飞针测试费，按0.001元/点计算；3平米以上原则需要开测试架（客供或我司新开，我司新开测试架为0.5元/点、最低收费500元/款，超出按实际收费）（通孔订单下单超过5万元，退还测试架费用）（测试架我司保存期限为1年，1年内无返单测试架我司自行报废）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.菲林费：光绘面积超出0.06平方米, 按200元/平方米计费（1-2L按6张，4L按8张，6层按11张，8层按13张,10层按15张计费）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.合拼板说明：一款资料内含多个设计：1-2层板多拼1款+60元（最多拼4款，从第五款起多一款+150)，4层板多拼1款+110元（从第四款起每多一款+150），6层板多拼1款+220元（最多拼2款），8层板多拼1款+350（最多拼2款）（我司拼板拼板费双倍）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.以上价格包钻孔数为双面10万孔/平米，多层15万孔/平米。（最小钻孔孔径0.2mm及以上）每多1万孔单价加收10元/平米；（最小钻孔孔径0.15mm）每多1万孔单价加收30元/平米),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.不接受打叉板：10拼以下平米单价加10%；10-20拼平米单价加20%；20-30拼平米单价加30%；样品在总价上加（不含菲林费和测试费）；,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三.特殊工艺价格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沉金,"1U""加收140元/平米，样板加140元/款（两面沉金面积相加不超过25%）",,,,,,,,,,,,,,,,2025.05月起沉金1+145元/款或145元/平米,,,,,,,,,,,,,,,,,,
,"2U""加收190元/平米，样板加190元/款（两面沉金面积相加不超过25%）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3U""加收240元/平米.样板加230元/款；",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沉银,"每平米加收100元,样板加120元/款，交期加2天",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沉锡,"每平米加收100元,样板加120元/款，交期加2天",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝胶,样品加120元/款，批量加100/平米；样品交期加2天，批量交期加3天以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孔铜,孔铜25UM加30元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铜厚（含PP及难度费）,"单,双面板 2OZ+100元，3OZ+320元，4OZ+550元；批量2OZ+100元，3OZ+310元，4OZ+510元",,,,,,,,,,,,,样品3OZ铜厚加2天交期，4OZ加3天交期,,,,,,,,,,,,,,,,,,,,,
,"四层板样品  2/1/1/2OZ+100元, 2/2/2/2OZ+230元，3/2/2/2OZ+400元, 3/3/3/3OZ+610元，4/3/3/4OZ+800元, 4/4/4/4OZ+1200元",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,四层批量,"2/1/1/2OZ+100元, 2/2/2/2OZ+220元，3/2/2/2OZ+400元, 3/3/3/3OZ+550元，4/3/3/4OZ+900元, 4/4/4/4OZ+1200元",,,,,,,,,,,,批量铜厚3OZ及以上 另外评估,,,,,,,,,,,,,,,,,,,,,
,六层,"2/1/1/1/1/2OZ+100元, 2/2/2/2/2/2OZ+400元，2/3/3/3/3/2OZ+750, 3/3/3/3/3/3OZ+1100元，3/4/4/4/4/3OZ+1500， 4/4/4/4/4/4OZ+1900元",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,六层批量,"2/1/1/1/1/2OZ+100元, 2/2/2/2/2/2OZ+380元，2/3/3/3/3/2OZ+700, 3/3/3/3/3/3OZ+900元，3/4/4/4/4/3OZ+1300， 4/4/4/4/4/4OZ+1700元",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
板厚,0.2-0.4MM,,,,单双面板,制板单价加50%/平米(样板+300元/款）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.6-1.0MM,,,,单双面板,制板单价减15元/平米,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.2MM,,,,单双面板,制板单价减10元/平米,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.6-3.2MM,,,,,"板厚每加0.4MM,双面单价加100元/平米，4层加80元/平米，不足1平米订单按1平米费用加收",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,板厚正常制程范围,,,（1-4L 0.6mm-1.6mm；6L 0.8MM-1.6MM；8L 1.0mm-1.6mm；10L 1.2MM-1.6MM；大于等于12L 1.6MM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG板材,TG150,,,样品单双面加80元/款，多层加100元/款；,,大于1平米+60/平；多层加80/平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TG170,,,样品单双面加100元/款，多层加150元/款；,,大于1平米+80/平；多层加100/平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生益板材,生益普通板料加80元/款，批量加80元/平米；指定生益TG150加120/款、TG170板料加150/款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盲埋孔,每多一层机械盲埋孔，按加多2层计算，交期另加2天（不接交叉盲孔）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
压合,每加1张光板，制板费用+工程费按加2层收费。（4张及以上的PP叠加，则需改加光板）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,常每多加一张PP加20元/平米。（样品低消按1平米）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孔径,常规板子钻孔小于0.2MM不做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,孔径比为1/10，总价加15%。双面样板加80元，每多两层另加80元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盘中孔,样品加600元/款，批量加500元/平米，样品交期加2天。整板过孔做盘中孔的另行评估报价。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沉头孔,0.5元/个；最低收费150元/款，交期加2天；（特殊直径或角度需要单独收取定制刀具的费用100元/把）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGA≤0.25MM,批量加15%难度费；样品最低100元/款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阻抗,样品+50元/款，大于1平米不收费；阻抗报告另加30元/款。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
半孔/金属包边,样板加100元/款，批量加100元/平米；样品交期加一天，批量加2天及以上；（板边包金不做喷锡）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金手指斜边,常规金手指外斜边每平米加50元，样品加50元/款（小板斜边另算）。有要求的外斜边1元/刀，板内金手指斜边2元/PCS，样品加200元/款，交期加两天。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金手指,需先评审资料；,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
